"nom_fashionjobs","offres_annuaire","fiche_fashionjobs","statut_couverture","type_acteur","methode_rapprochement","company_ids","companies","ambiguite_plusieurs_fiches","offres_base_monde","offres_base_france","offres_base_source_directe_france","offres_directes_sans_pays","ecart_base_direct_fr_moins_annuaire","comparaison_certifiee","domaines_base","sources_catalogue","sources_directes_actives","portails_groupe","statut_recherche","liens_carriere_candidats_non_certifies","sites_candidats_lus","portail_revu","preuve_identite_ou_portail","qualification_documentee","ats_revu","prochaine_action"
"AGENCE OHANA","1","https://fr.fashionjobs.com/recrutement/agence-ohana.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AKHO","1","https://fr.fashionjobs.com/recrutement/akho.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtp868z33rnzqq4zjy1vwkng","AKHO","NON","1","1","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ALBYA","1","https://fr.fashionjobs.com/recrutement/albya.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw0l91tk1nf2bns84n4tr","ALBYA","NON","1","1","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ALEXANDRA ZHUKOVA","1","https://fr.fashionjobs.com/recrutement/alexandra-zhukova.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw26y1u1gnf2biqd4m0tu","ALEXANDRA ZHUKOVA","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ALEXEIN CONSEIL","1","https://fr.fashionjobs.com/recrutement/alexein-conseil.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvujg1rpnnf2b42lriz7o","ALEXEIN CONSEIL","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ALTER DESIGNS","1","https://fr.fashionjobs.com/recrutement/alter-designs.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvwi11sf1nf2bnatrxkov","ALTER DESIGNS","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ALTERCOSMETO - ALGOLOGIE & DR RENAUD","1","https://fr.fashionjobs.com/recrutement/altercosmeto-algologie-dr-renaud.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ALVEOLE STUDIO","1","https://fr.fashionjobs.com/recrutement/alveole-studio.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw2nl1u79nf2bpupgruh3","ALVEOLE STUDIO","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AMATEIS (HENRI DUVILLARD, DEGRE 7, AULP, VERTIGO)","1","https://fr.fashionjobs.com/recrutement/amateis.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AMBALI","1","https://fr.fashionjobs.com/recrutement/ambali.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AMICALEMENT SOI","1","https://fr.fashionjobs.com/recrutement/amicalement-soi.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ANASHI","1","https://fr.fashionjobs.com/recrutement/anashi.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ANGELA BARBIERI","1","https://fr.fashionjobs.com/recrutement/angela-barbieri.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ANGELO SENSINI COMMUNICATION","1","https://fr.fashionjobs.com/recrutement/angelo-sensini-communication.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ANICET BIJOUX","1","https://fr.fashionjobs.com/recrutement/anicet-bijoux.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ANOTHER TOMORROW","1","https://fr.fashionjobs.com/recrutement/another-tomorrow.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://anothertomorrow.co/en-eu/pages/careers","https://anothertomorrow.co/?oid=321&affid=1&source_id=GoY-rating&sub1=brandpage","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ARGELLIES RP.","1","https://fr.fashionjobs.com/recrutement/argellies-rp-.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvw651sbanf2b4uf43ga3","ARGELLIES RP.","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ARIZONA LOVE","1","https://fr.fashionjobs.com/recrutement/arizona-love.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://arizonalove.store/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ARTHUR ET FOX","1","https://fr.fashionjobs.com/recrutement/arthur-et-fox.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ARTLIST PARIS NEW YORK","1","https://fr.fashionjobs.com/recrutement/artlist-paris-new-york.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ARTRONCA","1","https://fr.fashionjobs.com/recrutement/artronca.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ASKEDOUT","1","https://fr.fashionjobs.com/recrutement/askedout.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ATELIER 19.6","1","https://fr.fashionjobs.com/recrutement/atelier-19-6.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw12j1tpnnf2bb9ch9kcd","ATELIER 19.6","NON","1","1","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","atelier19six.com","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://atelier19six.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ATELIER CHOUX","1","https://fr.fashionjobs.com/recrutement/atelier-choux.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ATELIER DE CONFECTION SAINT LAURENT","1","https://fr.fashionjobs.com/recrutement/atelier-de-confection-saint-laurent.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ATELIER FOUQUET","1","https://fr.fashionjobs.com/recrutement/atelier-fouquet.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvuyc1rw2nf2bexd99q0j","ATELIER FOUQUET","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AUDETTE","1","https://fr.fashionjobs.com/recrutement/audette.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw2f21u4jnf2b2nd4klck","AUDETTE","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AUDIO GUIDE PARIS","1","https://fr.fashionjobs.com/recrutement/audio-guide-paris.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AYMAOU","1","https://fr.fashionjobs.com/recrutement/aymaou.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"B.BRAND","1","https://fr.fashionjobs.com/recrutement/b-brand.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvxhe1spanf2bpj5g78ex","B.BRAND","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BALENCIAGA OPERATIONS","1","https://fr.fashionjobs.com/recrutement/balenciaga-operations.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BANDE ORIGINALE","1","https://fr.fashionjobs.com/recrutement/bande-originale.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw3321ucsnf2ba6ml5xly","BANDE ORIGINALE","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BAOBAB COLLECTION","1","https://fr.fashionjobs.com/recrutement/baobab-collection.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvuhp1rovnf2bf3wgeias","BAOBAB COLLECTION","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BARBARISME PARIS","1","https://fr.fashionjobs.com/recrutement/barbarisme-paris.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw2ai1u30nf2bjgxj2odr","BARBARISME PARIS","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BELLEROSE","1","https://fr.fashionjobs.com/recrutement/bellerose.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvx5y1sl0nf2bw87enif4","BELLEROSE","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://bellerose.com/pages/team | https://bellerose.com/pages/job-internship-invited-brands-1 | https://bellerose.com/pages/job-customer-service-b2b-logistics | https://bellerose.com/pages/job-sales-specialist-leuven-30h | https://bellerose.com/pages/job-sales-specialist-rotterdam-10h | https://bellerose.com/pages/job-sales-specialist-antwerpen-12h | https://bellerose.com/pages/job-sales-specialist-antwerpen-35h-1 | https://bellerose.com/pages/job-sales-specialist-amsterdam-28h | https://bellerose.com/pages/job-sales-specialist-amsterdam-bijenkorf-18h | https://bellerose.com/pages/job-sales-specialist-lyon-21h | https://bellerose.com/pages/job-sales-specialist-the-hague-10h | https://bellerose.com/pages/job-store-manager-amsterdam-bijenkorf-35h","https://bellerose.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BENETTON","1","https://fr.fashionjobs.com/recrutement/benetton.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://fr.benetton.com/?shpxid=4c5d1153-3b6f-46aa-8f3c-f12ce3d70495","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BERNARD ORCEL COURCHEVEL","1","https://fr.fashionjobs.com/recrutement/bernard-orcel-courchevel.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BERTO + ZITA","1","https://fr.fashionjobs.com/recrutement/berto-zita.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtks20ee218lp72bwvh5qwss","BERTO + ZITA","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BIENAIMÉ PARFUMS","1","https://fr.fashionjobs.com/recrutement/bienaime-parfums.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BIGAND CONFECTION","1","https://fr.fashionjobs.com/recrutement/bigand-confection.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BILLABONG","1","https://fr.fashionjobs.com/recrutement/billabong.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://www.billabong.com/fr","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BINET PAPILLON PARFUMS","1","https://fr.fashionjobs.com/recrutement/binet-papillon-parfums.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BIRKENSTOCK FRANCE SAS","1","https://fr.fashionjobs.com/recrutement/birkenstock-france-sas.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BLACK CAT STUDIO","1","https://fr.fashionjobs.com/recrutement/black-cat-studio.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw2g01u4vnf2bwk4se0tp","BLACK CAT STUDIO","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BLUE BOX","1","https://fr.fashionjobs.com/recrutement/blue-box.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw0361tf0nf2birz84kkt","BLUE BOX","NON","1","1","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","blue-box.fr","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://blue-box.fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BLUEMARBLE","1","https://fr.fashionjobs.com/recrutement/bluemarble.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvvez1s2gnf2blgcl5orb","BLUEMARBLE","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://bluemarbleparis.com/en-fr","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BOADICÉE","1","https://fr.fashionjobs.com/recrutement/boadicee.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlq3ubl1lxxpg2bqe29ftoo","BOADICÉE","NON","0","0","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BOTNARI MEDIA","1","https://fr.fashionjobs.com/recrutement/botnari-media.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BRAND SISTERS","1","https://fr.fashionjobs.com/recrutement/brand-sisters.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BRUN STUDIO - ARTIST DESIGNER","1","https://fr.fashionjobs.com/recrutement/brun-studio-artist-designer.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvy851syenf2bskkudv9r","BRUN STUDIO - ARTIST DESIGNER","NON","1","1","0","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
